Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Tokens,POS_Tags
0,767,33,,Absolutely wonderful - silky and sexy and comfortable,4,1,0,Initmates,Intimate,Intimates,"['absolutely', 'wonderful', 'silky', 'sexy', 'comfortable']","[('absolutely', 'RB'), ('wonderful', 'JJ'), ('silky', 'JJ'), ('sexy', 'NN'), ('comfortable', 'JJ')]"
1,1080,34,,"Love this dress!  it's sooo pretty.  i happened to find it in a store, and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite.",5,1,4,General,Dresses,Dresses,"['love', 'dress', 'sooo', 'pretty', 'happened', 'find', 'store', 'im', 'glad', 'bc', 'never', 'would', 'ordered', 'online', 'bc', 'petite', 'bought', 'petite', '58', 'love', 'length', 'hits', 'little', 'knee', 'would', 'definitely', 'true', 'midi', 'someone', 'truly', 'petite']","[('love', 'VB'), ('dress', 'NN'), ('sooo', 'NN'), ('pretty', 'RB'), ('happened', 'VBD'), ('find', 'JJ'), ('store', 'NN'), ('im', 'NN'), ('glad', 'NN'), ('bc', 'NN'), ('never', 'RB'), ('would', 'MD'), ('ordered', 'VB'), ('online', 'JJ'), ('bc', 'NN'), ('petite', 'NN'), ('bought', 'VBD'), ('petite', 'RB'), ('58', 'CD'), ('love', 'JJ'), ('length', 'NN'), ('hits', 'VBZ'), ('little', 'JJ'), ('knee', 'NN'), ('would', 'MD'), ('definitely', 'RB'), ('true', 'JJ'), ('midi', 'NN'), ('someone', 'NN'), ('truly', 'RB'), ('petite', 'JJ')]"
2,1077,60,Some major design flaws,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,0,0,General,Dresses,Dresses,"['high', 'hopes', 'dress', 'really', 'wanted', 'work', 'initially', 'ordered', 'petite', 'small', 'usual', 'size', 'found', 'outrageously', 'small', 'small', 'fact', 'could', 'zip', 'reordered', 'petite', 'medium', 'ok', 'overall', 'top', 'half', 'comfortable', 'fit', 'nicely', 'bottom', 'half', 'tight', 'layer', 'several', 'somewhat', 'cheap', 'net', 'layers', 'imo', 'major', 'design', 'flaw', 'net', 'layer', 'sewn', 'directly', 'zipper', 'c']","[('high', 'JJ'), ('hopes', 'NNS'), ('dress', 'VBP'), ('really', 'RB'), ('wanted', 'JJ'), ('work', 'NN'), ('initially', 'RB'), ('ordered', 'VBD'), ('petite', 'JJ'), ('small', 'JJ'), ('usual', 'JJ'), ('size', 'NN'), ('found', 'VBD'), ('outrageously', 'RB'), ('small', 'JJ'), ('small', 'JJ'), ('fact', 'NN'), ('could', 'MD'), ('zip', 'VB'), ('reordered', 'VBN'), ('petite', 'JJ'), ('medium', 'NN'), ('ok', 'JJ'), ('overall', 'JJ'), ('top', 'JJ'), ('half', 'NN'), ('comfortable', 'JJ'), ('fit', 'JJ'), ('nicely', 'RB'), ('bottom', 'JJ'), ('half', 'NN'), ('tight', 'JJ'), ('layer', 'JJ'), ('several', 'JJ'), ('somewhat', 'RB'), ('cheap', 'JJ'), ('net', 'JJ'), ('layers', 'NNS'), ('imo', 'VBP'), ('major', 'JJ'), ('design', 'NN'), ('flaw', 'NN'), ('net', 'NN'), ('layer', 'NN'), ('sewn', 'NN'), ('directly', 'RB'), ('zipper', 'CD'), ('c', 'NN')]"
3,1049,50,My favorite buy!,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,1,0,General Petite,Bottoms,Pants,"['love', 'love', 'love', 'jumpsuit', 'fun', 'flirty', 'fabulous', 'every', 'time', 'wear', 'get', 'nothing', 'great', 'compliments']","[('love', 'VB'), ('love', 'NN'), ('love', 'NN'), ('jumpsuit', 'NN'), ('fun', 'NN'), ('flirty', 'VBP'), ('fabulous', 'JJ'), ('every', 'DT'), ('time', 'NN'), ('wear', 'JJ'), ('get', 'NN'), ('nothing', 'NN'), ('great', 'JJ'), ('compliments', 'NNS')]"
4,847,47,Flattering shirt,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,1,6,General,Tops,Blouses,"['shirt', 'flattering', 'due', 'adjustable', 'front', 'tie', 'perfect', 'length', 'wear', 'leggings', 'sleeveless', 'pairs', 'well', 'cardigan', 'love', 'shirt']","[('shirt', 'NN'), ('flattering', 'VBG'), ('due', 'JJ'), ('adjustable', 'JJ'), ('front', 'NN'), ('tie', 'NN'), ('perfect', 'JJ'), ('length', 'NN'), ('wear', 'JJ'), ('leggings', 'NNS'), ('sleeveless', 'NN'), ('pairs', 'RB'), ('well', 'RB'), ('cardigan', 'JJ'), ('love', 'VBP'), ('shirt', 'NN')]"
5,1080,49,Not for the very petite,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,0,4,General,Dresses,Dresses,"['love', 'tracy', 'reese', 'dresses', 'one', 'petite', '5', 'feet', 'tall', 'usually', 'wear', '0p', 'brand', 'dress', 'pretty', 'package', 'lot', 'dress', 'skirt', 'long', 'full', 'overwhelmed', 'small', 'frame', 'stranger', 'alterations', 'shortening', 'narrowing', 'skirt', 'would', 'take', 'away', 'embellishment', 'garment', 'love', 'color', 'idea', 'style', 'work', 'returned', 'dress']","[('love', 'VB'), ('tracy', 'NN'), ('reese', 'JJ'), ('dresses', 'VBZ'), ('one', 'CD'), ('petite', 'NN'), ('5', 'CD'), ('feet', 'NNS'), ('tall', 'JJ'), ('usually', 'RB'), ('wear', 'VBP'), ('0p', 'CD'), ('brand', 'NN'), ('dress', 'NN'), ('pretty', 'RB'), ('package', 'NN'), ('lot', 'NN'), ('dress', 'NN'), ('skirt', 'NN'), ('long', 'RB'), ('full', 'JJ'), ('overwhelmed', 'VBD'), ('small', 'JJ'), ('frame', 'NN'), ('stranger', 'NN'), ('alterations', 'NNS'), ('shortening', 'VBG'), ('narrowing', 'JJ'), ('skirt', 'NN'), ('would', 'MD'), ('take', 'VB'), ('away', 'RP'), ('embellishment', 'JJ'), ('garment', 'NN'), ('love', 'NN'), ('color', 'NN'), ('idea', 'NN'), ('style', 'NN'), ('work', 'NN'), ('returned', 'VBD'), ('dress', 'NN')]"
6,858,39,Cagrcoal shimmer fun,"I aded this in my basket at hte last mintue to see what it would look like in person. (store pick up). i went with teh darkler color only because i am so pale :-) hte color is really gorgeous, and turns out it mathced everythiing i was trying on with it prefectly. it is a little baggy on me and hte xs is hte msallet size (bummer, no petite). i decided to jkeep it though, because as i said, it matvehd everything. my ejans, pants, and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,1,1,General Petite,Tops,Knits,"['aded', 'basket', 'hte', 'last', 'mintue', 'see', 'would', 'look', 'like', 'person', 'store', 'pick', 'went', 'teh', 'darkler', 'color', 'pale', 'hte', 'color', 'really', 'gorgeous', 'turns', 'mathced', 'everythiing', 'trying', 'prefectly', 'little', 'baggy', 'hte', 'xs', 'hte', 'msallet', 'size', 'bummer', 'petite', 'decided', 'jkeep', 'though', 'said', 'matvehd', 'everything', 'ejans', 'pants', '3', 'skirts', 'waas', 'trying', 'kept', 'oops']","[('aded', 'VBN'), ('basket', 'NN'), ('hte', 'NN'), ('last', 'JJ'), ('mintue', 'NN'), ('see', 'NN'), ('would', 'MD'), ('look', 'VB'), ('like', 'IN'), ('person', 'NN'), ('store', 'NN'), ('pick', 'NN'), ('went', 'VBD'), ('teh', 'JJ'), ('darkler', 'NN'), ('color', 'NN'), ('pale', 'NN'), ('hte', 'NN'), ('color', 'NN'), ('really', 'RB'), ('gorgeous', 'JJ'), ('turns', 'NNS'), ('mathced', 'VBD'), ('everythiing', 'VBG'), ('trying', 'VBG'), ('prefectly', 'RB'), ('little', 'JJ'), ('baggy', 'JJ'), ('hte', 'NN'), ('xs', 'NNP'), ('hte', 'NN'), ('msallet', 'NN'), ('size', 'NN'), ('bummer', 'IN'), ('petite', 'NN'), ('decided', 'VBD'), ('jkeep', 'NN'), ('though', 'IN'), ('said', 'VBD'), ('matvehd', 'NN'), ('everything', 'NN'), ('ejans', 'VBZ'), ('pants', 'NNS'), ('3', 'CD'), ('skirts', 'NNS'), ('waas', 'VBD'), ('trying', 'VBG'), ('kept', 'NN'), ('oops', 'NNS')]"
7,858,39,"Shimmer, surprisingly goes with lots","I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). everything went with it. the color is really nice charcoal with shimmer, and went well with pencil skirts, flare pants, etc. my only compaint is it is a bit big, sleeves are long and it doesn't go in petite. also a bit loose for me, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,1,4,General Petite,Tops,Knits,"['ordered', 'carbon', 'store', 'pick', 'ton', 'stuff', 'always', 'try', 'used', 'top', 'pair', 'skirts', 'pants', 'everything', 'went', 'color', 'really', 'nice', 'charcoal', 'shimmer', 'went', 'well', 'pencil', 'skirts', 'flare', 'pants', 'etc', 'compaint', 'bit', 'big', 'sleeves', 'long', 'doesnt', 'go', 'petite', 'also', 'bit', 'loose', 'xxs', 'kept', 'wil', 'ldecide', 'later', 'since', 'light', 'color', 'already', 'sold', 'hte', 'smallest', 'size']","[('ordered', 'VBN'), ('carbon', 'NN'), ('store', 'NN'), ('pick', 'JJ'), ('ton', 'NN'), ('stuff', 'NN'), ('always', 'RB'), ('try', 'VB'), ('used', 'VBN'), ('top', 'JJ'), ('pair', 'NN'), ('skirts', 'VBZ'), ('pants', 'NNS'), ('everything', 'NN'), ('went', 'VBD'), ('color', 'NN'), ('really', 'RB'), ('nice', 'JJ'), ('charcoal', 'NN'), ('shimmer', 'NN'), ('went', 'VBD'), ('well', 'RB'), ('pencil', 'JJ'), ('skirts', 'NNS'), ('flare', 'JJ'), ('pants', 'NNS'), ('etc', 'FW'), ('compaint', 'NN'), ('bit', 'NN'), ('big', 'JJ'), ('sleeves', 'NNS'), ('long', 'JJ'), ('doesnt', 'RB'), ('go', 'VBP'), ('petite', 'RB'), ('also', 'RB'), ('bit', 'VBP'), ('loose', 'JJ'), ('xxs', 'NNP'), ('kept', 'VBD'), ('wil', 'JJ'), ('ldecide', 'RB'), ('later', 'RB'), ('since', 'IN'), ('light', 'JJ'), ('color', 'NN'), ('already', 'RB'), ('sold', 'VBN'), ('hte', 'NN'), ('smallest', 'JJS'), ('size', 'NN')]"
8,1077,24,Flattering,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,1,0,General,Dresses,Dresses,"['love', 'dress', 'usually', 'get', 'xs', 'runs', 'little', 'snug', 'bust', 'ordered', 'size', 'flattering', 'feminine', 'usual', 'retailer', 'flair', 'style']","[('love', 'VB'), ('dress', 'NN'), ('usually', 'RB'), ('get', 'VBP'), ('xs', 'JJ'), ('runs', 'NNS'), ('little', 'JJ'), ('snug', 'JJ'), ('bust', 'NN'), ('ordered', 'VBD'), ('size', 'NN'), ('flattering', 'VBG'), ('feminine', 'JJ'), ('usual', 'JJ'), ('retailer', 'NN'), ('flair', 'NN'), ('style', 'NN')]"
9,1077,34,Such a fun dress!,"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. i typically wear an xs regular in retailer dresses. if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",5,1,0,General,Dresses,Dresses,"['im', '55', '125', 'lbs', 'ordered', 'petite', 'make', 'sure', 'length', 'wasnt', 'long', 'typically', 'wear', 'xs', 'regular', 'retailer', 'dresses', 'youre', 'less', 'busty', '34b', 'cup', 'smaller', 'petite', 'fit', 'perfectly', 'snug', 'tight', 'love', 'could', 'dress', 'party', 'work', 'love', 'tulle', 'longer', 'fabric', 'underneath']","[('im', 'RB'), ('55', 'CD'), ('125', 'CD'), ('lbs', 'NN'), ('ordered', 'VBD'), ('petite', 'JJ'), ('make', 'NN'), ('sure', 'JJ'), ('length', 'NN'), ('wasnt', 'NN'), ('long', 'RB'), ('typically', 'RB'), ('wear', 'JJ'), ('xs', 'NNP'), ('regular', 'JJ'), ('retailer', 'NN'), ('dresses', 'VBZ'), ('youre', 'RB'), ('less', 'JJR'), ('busty', 'JJ'), ('34b', 'CD'), ('cup', 'NN'), ('smaller', 'JJR'), ('petite', 'JJ'), ('fit', 'NN'), ('perfectly', 'RB'), ('snug', 'JJ'), ('tight', 'JJ'), ('love', 'NN'), ('could', 'MD'), ('dress', 'VB'), ('party', 'NN'), ('work', 'NN'), ('love', 'NN'), ('tulle', 'RB'), ('longer', 'RBR'), ('fabric', 'JJ'), ('underneath', 'NN')]"
10,1077,53,Dress looks like it's made of cheap material,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,3,0,14,General,Dresses,Dresses,"['dress', 'runs', 'small', 'esp', 'zipper', 'area', 'runs', 'ordered', 'sp', 'typically', 'fits', 'tight', 'material', 'top', 'looks', 'feels', 'cheap', 'even', 'pulling', 'cause', 'rip', 'fabric', 'pretty', 'disappointed', 'going', 'christmas', 'dress', 'year', 'needless', 'say', 'going', 'back']","[('dress', 'NN'), ('runs', 'VBZ'), ('small', 'JJ'), ('esp', 'FW'), ('zipper', 'JJ'), ('area', 'NN'), ('runs', 'NNS'), ('ordered', 'VBD'), ('sp', 'JJ'), ('typically', 'RB'), ('fits', 'VBZ'), ('tight', 'JJ'), ('material', 'NN'), ('top', 'NN'), ('looks', 'VBZ'), ('feels', 'NNS'), ('cheap', 'RB'), ('even', 'RB'), ('pulling', 'VBG'), ('cause', 'NN'), ('rip', 'NN'), ('fabric', 'NN'), ('pretty', 'RB'), ('disappointed', 'JJ'), ('going', 'VBG'), ('christmas', 'NN'), ('dress', 'NN'), ('year', 'NN'), ('needless', 'RB'), ('say', 'VBP'), ('going', 'VBG'), ('back', 'RB')]"
11,1095,39,,This dress is perfection! so pretty and flattering.,5,1,2,General Petite,Dresses,Dresses,"['dress', 'perfection', 'pretty', 'flattering']","[('dress', 'NN'), ('perfection', 'NN'), ('pretty', 'RB'), ('flattering', 'VBG')]"
12,1095,53,Perfect!!!,"More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past, they are right on in their estimation of the product. in the case of this dress-if it had not been for the reveiws-i doubt i would have even tried this. the dress is beautifully made, lined and reminiscent of the old retailer quality. it is lined in the solid periwinkle-colored fabric that matches the outer fabric print. tts and very form-fitting. falls just above the knee and does not rid",5,1,2,General Petite,Dresses,Dresses,"['find', 'reliant', 'reviews', 'written', 'savvy', 'shoppers', 'past', 'right', 'estimation', 'product', 'case', 'dressif', 'reveiwsi', 'doubt', 'would', 'even', 'tried', 'dress', 'beautifully', 'made', 'lined', 'reminiscent', 'old', 'retailer', 'quality', 'lined', 'solid', 'periwinklecolored', 'fabric', 'matches', 'outer', 'fabric', 'print', 'tts', 'formfitting', 'falls', 'knee', 'rid']","[('find', 'VB'), ('reliant', 'JJ'), ('reviews', 'NNS'), ('written', 'VBN'), ('savvy', 'JJ'), ('shoppers', 'NNS'), ('past', 'RB'), ('right', 'JJ'), ('estimation', 'NN'), ('product', 'NN'), ('case', 'NN'), ('dressif', 'NN'), ('reveiwsi', 'NN'), ('doubt', 'NN'), ('would', 'MD'), ('even', 'RB'), ('tried', 'VB'), ('dress', 'NN'), ('beautifully', 'RB'), ('made', 'VBD'), ('lined', 'JJ'), ('reminiscent', 'JJ'), ('old', 'JJ'), ('retailer', 'NN'), ('quality', 'NN'), ('lined', 'VBD'), ('solid', 'JJ'), ('periwinklecolored', 'JJ'), ('fabric', 'NN'), ('matches', 'NNS'), ('outer', 'VBP'), ('fabric', 'JJ'), ('print', 'NN'), ('tts', 'NN'), ('formfitting', 'VBG'), ('falls', 'NNS'), ('knee', 'FW'), ('rid', 'JJ')]"
13,767,44,Runs big,"Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr).
my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.
the straps are very pretty and it could easily be nightwear too.
i'm 5'6"" and it came to just below my knees.",5,1,0,Initmates,Intimate,Intimates,"['bought', 'black', 'xs', 'go', 'larkspur', 'midi', 'dress', 'didnt', 'bother', 'lining', 'skirt', 'portion', 'grrrrrrrrrrr', 'stats', '34a282936', 'xs', 'fit', 'smoothly', 'around', 'chest', 'flowy', 'around', 'lower', 'half', 'would', 'say', 'running', 'big', 'straps', 'pretty', 'could', 'easily', 'nightwear', 'im', '56', 'came', 'knees']","[('bought', 'JJ'), ('black', 'JJ'), ('xs', 'NNP'), ('go', 'VBP'), ('larkspur', 'JJ'), ('midi', 'NN'), ('dress', 'NN'), ('didnt', 'NN'), ('bother', 'NN'), ('lining', 'VBG'), ('skirt', 'JJ'), ('portion', 'NN'), ('grrrrrrrrrrr', 'NN'), ('stats', 'VBZ'), ('34a282936', 'CD'), ('xs', 'JJ'), ('fit', 'JJ'), ('smoothly', 'NN'), ('around', 'IN'), ('chest', 'JJS'), ('flowy', 'NN'), ('around', 'IN'), ('lower', 'JJR'), ('half', 'NN'), ('would', 'MD'), ('say', 'VB'), ('running', 'VBG'), ('big', 'JJ'), ('straps', 'NNS'), ('pretty', 'RB'), ('could', 'MD'), ('easily', 'RB'), ('nightwear', 'VB'), ('im', 'JJ'), ('56', 'CD'), ('came', 'VBD'), ('knees', 'NNS')]"
